date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:41	35595/35595	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:38%20GMT	https://keshilliveterinar.com/urdhri-profesional-i-mjekut-veterinar-te-shqiperise/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/urdhri-profesional-i-mjekut-veterinar-te-shqiperise/index.html	(from https://keshilliveterinar.com/)
17:18:41	30611/30611	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:39%20GMT	https://keshilliveterinar.com/per-profesionet-e-rregulluara-ne-republiken-e-shqiperise/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/per-profesionet-e-rregulluara-ne-republiken-e-shqiperise/index.html	(from https://keshilliveterinar.com/)
17:18:41	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:18:41%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://keshilliveterinar.com/wp-content/uploads/2019/06/instituti.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/keshilliveterinar.com/wp-content/uploads/2019/06/instituti.c.delayed	(from https://keshilliveterinar.com/)
17:18:42	31513/31513	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:41%20GMT	https://keshilliveterinar.com/komisionet-e-urdhrit-te-mjekut-veterinar/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/komisionet-e-urdhrit-te-mjekut-veterinar/index.html	(from https://keshilliveterinar.com/)
17:18:42	35048/35048	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:41%20GMT	https://keshilliveterinar.com/galeria/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/galeria/index.html	(from https://keshilliveterinar.com/)
17:18:52	1603693/1603693	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202019%2006:57:00%20GMT	https://keshilliveterinar.com/wp-content/uploads/2019/06/instituti.png	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/uploads/2019/06/instituti.png	(from https://keshilliveterinar.com/)
17:18:53	23815/23815	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:42%20GMT	https://keshilliveterinar.com/kursi-i-2-i-farmacise-shtator-tetor-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/kursi-i-2-i-farmacise-shtator-tetor-2018/index.html	(from https://keshilliveterinar.com/)
17:18:53	30772/30772	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:42%20GMT	https://keshilliveterinar.com/kursi-i-1-farmacise-korrik-gusht-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/kursi-i-1-farmacise-korrik-gusht-2018/index.html	(from https://keshilliveterinar.com/)
17:18:53	51234/51234	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:43%20GMT	https://keshilliveterinar.com/trajnimet-vjetor-qershor-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/trajnimet-vjetor-qershor-2018/index.html	(from https://keshilliveterinar.com/)
17:18:53	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:18:53%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/instituti.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/instituti.e.delayed	(from https://keshilliveterinar.com/)
17:18:54	0/-1	---M--	302	error ('')			https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/instituti.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/instituti.f.delayed	(from https://keshilliveterinar.com/)
17:19:09	23746/23746	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:53%20GMT	https://keshilliveterinar.com/trajnimi-i-farmacise-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/trajnimi-i-farmacise-2018/index.html	(from https://keshilliveterinar.com/)
17:19:09	41651/41651	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:53%20GMT	https://keshilliveterinar.com/trajnimi-i-insiminimit-lushnje-fier-tirane-elbasan-lezhe-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/trajnimi-i-insiminimit-lushnje-fier-tirane-elbasan-lezhe-2018/index.html	(from https://keshilliveterinar.com/)
17:19:10	29855/29855	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:54%20GMT	https://keshilliveterinar.com/trajnimi-veteriner-i-autorizuar-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/trajnimi-veteriner-i-autorizuar-2018/index.html	(from https://keshilliveterinar.com/)
17:19:10	0/-1	---M--	302	error ('')			https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/instituti.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/instituti.10.delayed	(from https://keshilliveterinar.com/)
17:19:10	22260/22260	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:18:54%20GMT	https://keshilliveterinar.com/trajnimi-i-kafsheve-te-vogla-me-turkun26-05-2018/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/trajnimi-i-kafsheve-te-vogla-me-turkun26-05-2018/index.html	(from https://keshilliveterinar.com/)
17:19:11	36293/36293	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:10%20GMT	https://keshilliveterinar.com/trajnimet-shtes-2017/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/trajnimet-shtes-2017/index.html	(from https://keshilliveterinar.com/)
17:19:11	17954/17954	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:10%20GMT	https://keshilliveterinar.com/dekorata/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/dekorata/index.html	(from https://keshilliveterinar.com/)
17:19:11	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:10%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/images/titleicon.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/keshilliveterinar.com/wp-content/themes/pet-care-clinic/images/titleicon.11.delayed	(from https://keshilliveterinar.com/)
17:19:11	17966/17966	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:10%20GMT	https://keshilliveterinar.com/veterinaria/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/veterinaria/index.html	(from https://keshilliveterinar.com/)
17:19:12	17017/17017	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:11%20GMT	https://keshilliveterinar.com/te-ushqyerit-e-kafsheve/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/te-ushqyerit-e-kafsheve/index.html	(from https://keshilliveterinar.com/)
17:19:12	2696/2696	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/images/titleicon.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/images/titleicon.jpg	(from https://keshilliveterinar.com/)
17:19:14	19775/19775	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:11%20GMT	https://keshilliveterinar.com/lindja-dhe-ecuria-e-mjeksise-veterinare-1900-1944-pjesa-e-pare/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/lindja-dhe-ecuria-e-mjeksise-veterinare-1900-1944-pjesa-e-pare/index.html	(from https://keshilliveterinar.com/)
17:19:14	21551/21551	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:12%20GMT	https://keshilliveterinar.com/lindja-dhe-ecuria-e-mjeksise-veterinare-1900-1944-pjesa-e-dyte/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/lindja-dhe-ecuria-e-mjeksise-veterinare-1900-1944-pjesa-e-dyte/index.html	(from https://keshilliveterinar.com/)
17:19:14	16308/16308	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:12%20GMT	https://keshilliveterinar.com/voto/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/voto/index.html	(from https://keshilliveterinar.com/)
17:19:14	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:14%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/images/titleicon.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/themes/pet-care-clinic/images/titleicon.13.delayed	(from https://keshilliveterinar.com/)
17:19:15	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:14%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1024/https://keshilliveterinar.com/wp-content/uploads/2019/06/unnamed-1024x768.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img,w_1024/https_/keshilliveterinar.com/wp-content/uploads/2019/06/unnamed-1024x768.jpg	(from https://keshilliveterinar.com/)
17:19:15	20999/20999	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:14%20GMT	https://keshilliveterinar.com/slider-one/slider/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/slider-one/slider/index.html	(from https://keshilliveterinar.com/)
17:19:16	17267/17267	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:14%20GMT	https://keshilliveterinar.com/slider-one/the-professional-veterinary-order-of-albania/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/slider-one/the-professional-veterinary-order-of-albania/index.html	(from https://keshilliveterinar.com/)
17:19:16	23358/23358	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:15%20GMT	https://keshilliveterinar.com/2020/05/11/kodi-i-etikes-profesionale/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/2020/05/11/kodi-i-etikes-profesionale/index.html	(from https://keshilliveterinar.com/)
17:19:17	73857/73857	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:16%20GMT	https://keshilliveterinar.com/2020/05/11/statuti-i-urdhrit-profesional-te-mjekut-veterinar-te-shqiperise-2/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/2020/05/11/statuti-i-urdhrit-profesional-te-mjekut-veterinar-te-shqiperise-2/index.html	(from https://keshilliveterinar.com/)
17:19:18	199728/199728	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jun%202019%2012:22:12%20GMT	https://keshilliveterinar.com/wp-content/uploads/2019/06/unnamed-1024x768.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/uploads/2019/06/unnamed-1024x768.jpg	(from https://keshilliveterinar.com/)
17:19:18	53373/53373	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:16%20GMT	https://keshilliveterinar.com/2020/05/11/keshilli-veterinar-shqiptar-2/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/2020/05/11/keshilli-veterinar-shqiptar-2/index.html	(from https://keshilliveterinar.com/)
17:19:18	23165/23165	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202020%2015:19:17%20GMT	https://keshilliveterinar.com/2019/06/24/urdhri-profesional-i-mjekut-veterinar-shqiptar-antar-i-federates-veterinare-europiane-fve/	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/2019/06/24/urdhri-profesional-i-mjekut-veterinar-shqiptar-antar-i-federates-veterinare-europiane-fve/index.html	(from https://keshilliveterinar.com/)
17:19:18	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:17%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/unnamed-1024x768.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/unnamed-1024x768.16.delayed	(from https://keshilliveterinar.com/)
17:19:18	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:18%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	(from https://keshilliveterinar.com/)
17:19:19	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:19%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	(from https://keshilliveterinar.com/)
17:19:20	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:19%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	(from https://keshilliveterinar.com/)
17:19:20	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:19%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://keshilliveterinar.com/wp-content/uploads/2019/06/fve.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/keshilliveterinar.com/wp-content/uploads/2019/06/fve.png	(from https://keshilliveterinar.com/)
17:19:21	0/0	---M-Z	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:20%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/fve.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/fve.png	(from https://keshilliveterinar.com/)
17:19:21	0/0	---MCZ	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:21%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://keshilliveterinar.com/wp-content/uploads/2019/06/partneret-1.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/keshilliveterinar.com/wp-content/uploads/2019/06/partneret-1.png	(from https://keshilliveterinar.com/)
17:19:22	251870/251870	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202019%2018:28:39%20GMT	https://keshilliveterinar.com/wp-content/uploads/2019/06/fve.png	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/uploads/2019/06/fve.png	(from https://keshilliveterinar.com/)
17:19:22	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2016%20Jun%202020%2015:19:22%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://keshilliveterinar.com/wp-content/uploads/2019/06/partneret-1.png	C:/My%20Web%20Sites/keshilli%20veterinar/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/keshilliveterinar.com/wp-content/uploads/2019/06/partneret-1.png	(from https://keshilliveterinar.com/)
17:19:23	150083/150083	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202019%2012:39:36%20GMT	https://keshilliveterinar.com/wp-content/uploads/2019/06/partneret-1.png	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/uploads/2019/06/partneret-1.png	(from https://keshilliveterinar.com/)
17:19:23	9368004/9368004	---M--	200	added ('OK')	image/jpeg	date:Sat,%2008%20Jun%202019%2020:15:48%20GMT	https://keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/uploads/2019/06/kapaku-rev-nr-2-2018.jpg	(from https://keshilliveterinar.com/)
17:19:24	14440/14440	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:12:39%20GMT	https://keshilliveterinar.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.7	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/plugins/contact-form-7/includes/js/scripts6725.js	(from https://keshilliveterinar.com/)
17:19:25	66732/66732	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/bootstrap.js?ver=3.3.4	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/bootstrap7984.js	(from https://keshilliveterinar.com/)
17:19:26	1837/1837	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.TMstickmenu.js?ver=1.0.0	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.TMstickmenu8a54.js	(from https://keshilliveterinar.com/)
17:19:29	15547/15547	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/wow.js?ver=1.0.0	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/wow8a54.js	(from https://keshilliveterinar.com/)
17:19:29	82582/82582	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.carouFredSel-6.2.1-packed.js?ver=6.2.1	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.carouFredSel-6.2.1-packedf731.js	(from https://keshilliveterinar.com/)
17:19:30	29114/29114	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.nivo.slider.js?ver=2.0.8	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.nivo.slidera7f4.js	(from https://keshilliveterinar.com/)
17:19:31	38870/38870	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20Apr%202020%2016:13:03%20GMT	https://keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.fancybox.pack.js?ver=2.1.5	C:/My%20Web%20Sites/keshilli%20veterinar/keshilliveterinar.com/wp-content/themes/pet-care-clinic/inc/js/jquery.fancybox.packd63f.js	(from https://keshilliveterinar.com/)
